date,code,faction,long,short,net
20260514,AL,杭州帮(永安),22752.0,13757.0,8995.0
20260514,AL,外资(高盛+摩根),10743.0,11411.0,-668.0
20260514,AL,主力(国君+东证+中财),111458.0,83212.0,28246.0
20260514,AL,偏产业(金瑞+五矿+光大),23744.0,13587.0,10157.0
20260515,AL,杭州帮(永安),22164.0,13941.0,8223.0
20260515,AL,外资(高盛+摩根),9866.0,13979.0,-4113.0
20260515,AL,主力(国君+东证+中财),108057.0,83434.0,24623.0
20260515,AL,偏产业(金瑞+五矿+光大),25834.0,10219.0,15615.0
20260518,AL,杭州帮(永安),20721.0,13669.0,7052.0
20260518,AL,外资(高盛+摩根),7429.0,15080.0,-7651.0
20260518,AL,主力(国君+东证+中财),103790.0,83949.0,19841.0
20260518,AL,偏产业(金瑞+五矿+光大),26971.0,10114.0,16857.0
20260519,AL,杭州帮(永安),20486.0,13604.0,6882.0
20260519,AL,外资(高盛+摩根),7102.0,14120.0,-7018.0
20260519,AL,主力(国君+东证+中财),107351.0,83367.0,23984.0
20260519,AL,偏产业(金瑞+五矿+光大),26127.0,13392.0,12735.0
20260520,AL,杭州帮(永安),19672.0,13722.0,5950.0
20260520,AL,外资(高盛+摩根),3261.0,14030.0,-10769.0
20260520,AL,主力(国君+东证+中财),106911.0,82384.0,24527.0
20260520,AL,偏产业(金瑞+五矿+光大),26881.0,13539.0,13342.0
20260521,AL,杭州帮(永安),20098.0,13753.0,6345.0
20260521,AL,外资(高盛+摩根),3589.0,12471.0,-8882.0
20260521,AL,主力(国君+东证+中财),105167.0,75953.0,29214.0
20260521,AL,偏产业(金瑞+五矿+光大),28321.0,10658.0,17663.0
20260522,AL,杭州帮(永安),19987.0,13636.0,6351.0
20260522,AL,外资(高盛+摩根),3839.0,10412.0,-6573.0
20260522,AL,主力(国君+东证+中财),107910.0,74288.0,33622.0
20260522,AL,偏产业(金瑞+五矿+光大),26375.0,10569.0,15806.0
20260525,AL,杭州帮(永安),17221.0,13055.0,4166.0
20260525,AL,外资(高盛+摩根),3721.0,10443.0,-6722.0
20260525,AL,主力(国君+东证+中财),106839.0,71256.0,35583.0
20260525,AL,偏产业(金瑞+五矿+光大),23352.0,10161.0,13191.0
20260526,AL,杭州帮(永安),16568.0,12743.0,3825.0
20260526,AL,外资(高盛+摩根),0.0,0.0,0.0
20260526,AL,主力(国君+东证+中财),105701.0,66115.0,39586.0
20260526,AL,偏产业(金瑞+五矿+光大),24465.0,12371.0,12094.0
